"date","close","volume","open","high","low"
"2017/05/19","156.3000","4765200.0000","156.0400","156.7400","155.3200"
"2017/05/18","155.7000","4606463.0000","155.4800","156.6650","155.2400"
"2017/05/17","156.0900","5931589.0000","157.0800","157.3000","155.8900"
"2017/05/16","158.2600","10116830.0000","160.1100","160.8600","158.0500"
"2017/05/15","157.3300","5832878.0000","157.2800","157.8400","156.6600"
"2017/05/12","156.9200","2921187.0000","156.3900","157.2000","155.7500"
"2017/05/11","156.2000","3924715.0000","157.3500","157.7000","155.3300"
"2017/05/10","158.1300","2616863.0000","157.5200","158.1500","157.3000"
"2017/05/09","157.6800","3001521.0000","157.0400","157.7400","156.2900"
"2017/05/08","156.8900","3184532.0000","155.8500","157.1600","155.4900"
"2017/05/05","155.7300","2500236.0000","155.3400","155.7500","154.0900"
"2017/05/04","154.8600","3788653.0000","155.4600","155.6400","154.2600"
"2017/05/03","155.0000","2445354.0000","155.1600","155.3900","154.5900"
"2017/05/02","154.9500","3178579.0000","154.4900","155.1600","153.7600"
"2017/05/01","154.2100","3151165.0000","156.2200","156.2700","154.2100"
"2017/04/28","156.1000","4982778.0000","156.0100","156.2500","154.1020"
"2017/04/27","156.1200","5881207.0000","154.6900","156.2700","153.8900"
"2017/04/26","154.2200","5114867.0000","153.1100","154.8076","152.4000"
"2017/04/25","153.0300","5495937.0000","152.7900","154.6500","152.7900"
"2017/04/24","151.8900","5076437.0000","151.0800","152.0601","150.8500"
"2017/04/21","150.0000","5019344.0000","148.4900","150.1460","148.4000"
"2017/04/20","148.7200","3700070.0000","147.6600","149.0500","147.4400"
"2017/04/19","147.2200","3460973.0000","147.9300","148.4000","147.0200"
"2017/04/18","147.7600","2969308.0000","147.0600","148.1800","146.7700"
"2017/04/17","147.3100","3467600.0000","145.9000","147.3100","145.7600"
"2017/04/13","145.9100","2329537.0000","146.4200","147.0100","145.8700"
"2017/04/12","146.5400","4444996.0000","147.4200","147.5700","146.3670"
"2017/04/11","148.2000","2844788.0000","147.9100","148.6500","147.1000"
"2017/04/10","148.2100","5043053.0000","146.9600","148.9950","146.7500"
"2017/04/07","147.1300","2869103.0000","147.1000","147.8000","146.9000"
"2017/04/06","147.2400","2699646.0000","147.0400","147.9600","147.0000"
"2017/04/05","146.6400","3388961.0000","146.6300","148.4400","146.5800"
"2017/04/04","146.3400","3124198.0000","146.5000","146.9000","146.0500"
"2017/04/03","146.6200","3775271.0000","146.9400","147.2005","146.0900"
"2017/03/31","146.8300","3248666.0000","146.8700","147.1800","146.6500"
"2017/03/30","146.9500","2450779.0000","146.7200","147.3800","146.4300"
"2017/03/29","147.0400","3729969.0000","146.3700","147.4200","145.9600"
"2017/03/28","147.2000","4635498.0000","147.2900","147.3500","145.9400"
"2017/03/27","146.8700","2943004.0000","147.0700","147.6800","146.2600"
"2017/03/24","147.7100","4735350.0000","147.8500","150.1500","147.0100"
"2017/03/23","147.9900","3219051.0000","147.2800","148.4100","147.0300"
"2017/03/22","147.3600","3166437.0000","146.7300","147.9300","146.0600"
"2017/03/21","146.6100","4523257.0000","148.3300","148.7000","146.2600"
"2017/03/20","147.8000","5905859.0000","149.3800","149.5900","147.7000"
"2017/03/17","149.6000","8994811.0000","149.4000","149.9900","148.1300"
"2017/03/16","148.7300","3542308.0000","148.4000","149.1900","148.0100"
"2017/03/15","147.9500","3669998.0000","147.3500","148.3800","146.7600"
"2017/03/14","147.1600","3272674.0000","147.2700","147.5900","146.4600"
"2017/03/13","147.4300","2814961.0000","147.3300","147.6700","146.5000"
"2017/03/10","146.8500","3122443.0000","147.2400","147.4600","146.4500"
"2017/03/09","146.6200","3594664.0000","147.0800","147.1600","146.5300"
"2017/03/08","146.9200","3611512.0000","146.2200","147.1200","145.9200"
"2017/03/07","146.0200","3995889.0000","146.3300","146.9500","145.8300"
"2017/03/06","147.1300","3994425.0000","147.1300","147.5100","146.5800"
"2017/03/03","147.8100","3413198.0000","148.1200","148.2600","146.8200"
"2017/03/02","147.9500","4046550.0000","147.0800","148.2300","146.3886"
"2017/03/01","146.6800","6213340.0000","146.7200","147.6999","145.8910"
"2017/02/28","144.9100","4211164.0000","144.9800","145.6300","144.4650"
"2017/02/27","145.3000","4381787.0000","145.8700","146.0100","144.8000"
"2017/02/24","145.9500","3511799.0000","144.6500","146.0799","144.6500"
"2017/02/23","144.7100","4182642.0000","146.1100","146.3300","144.5100"
"2017/02/22","145.2500","5037239.0000","145.0500","145.4700","143.9700"
"2017/02/21","145.0200","9274546.0000","145.6000","145.6500","143.2500"
"2017/02/17","143.0000","5079322.0000","141.3600","143.1200","141.0000"
"2017/02/16","141.5400","4295367.0000","142.3900","142.9850","140.9000"
"2017/02/15","142.1900","4343492.0000","141.2700","142.6600","140.9500"
"2017/02/14","141.3600","4775120.0000","139.9500","141.3650","139.3400"
"2017/02/13","139.8700","2753063.0000","140.4800","140.6500","139.0500"
